benchmark,variant,seed,workload_scale,config,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
sensor_threshold_bug,no_failure_edge,1,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15979,0,0,0.009832,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,2,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15979,0,0,0.009812,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,3,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15979,0,0,0.009781,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,4,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15979,0,0,0.009854,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,5,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15979,0,0,0.010005,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,1,long,baseline_no_recorder,compiler_c_scaled,true,100000,30598,0,0,0.017868,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,2,long,baseline_no_recorder,compiler_c_scaled,true,100000,30598,0,0,0.018244,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,3,long,baseline_no_recorder,compiler_c_scaled,true,100000,30598,0,0,0.017961,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,4,long,baseline_no_recorder,compiler_c_scaled,true,100000,30598,0,0,0.017790,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,5,long,baseline_no_recorder,compiler_c_scaled,true,100000,30598,0,0,0.018835,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,1,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55739,0,0,0.033444,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,2,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55739,0,0,0.035069,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,3,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55739,0,0,0.033992,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,4,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55739,0,0,0.033815,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
sensor_threshold_bug,no_failure_edge,5,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55739,0,0,0.034069,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,1,smoke,baseline_no_recorder,compiler_c_scaled,true,60,15,0,0,0.002464,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,2,smoke,baseline_no_recorder,compiler_c_scaled,true,60,15,0,0,0.001990,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,3,smoke,baseline_no_recorder,compiler_c_scaled,true,60,15,0,0,0.001900,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,4,smoke,baseline_no_recorder,compiler_c_scaled,true,60,15,0,0,0.001885,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,5,smoke,baseline_no_recorder,compiler_c_scaled,true,60,15,0,0,0.001878,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,1,short,baseline_no_recorder,compiler_c_scaled,true,1539,338,0,0,0.002480,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,2,short,baseline_no_recorder,compiler_c_scaled,true,1539,338,0,0,0.002167,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
