bug_id,area,architecture,recorder_config,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,target,flow,current_status,error_code,first_failure_stage,root_cause,evidence_file,required_for_zero_fail,fix_status,notes
V2ZF-00042,PAYLOAD_HASH,v2,full,uart_command_bug,no_failure_edge,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00043,PAYLOAD_HASH,v2,full,uart_command_bug,no_failure_edge,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00044,PAYLOAD_HASH,v2,full,watchdog_timeout_bug,failing,1,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00045,PAYLOAD_HASH,v2,full,watchdog_timeout_bug,failing,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00046,PAYLOAD_HASH,v2,full,watchdog_timeout_bug,failing,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00047,PAYLOAD_HASH,v2,full,watchdog_timeout_bug,fixed,1,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00048,PAYLOAD_HASH,v2,full,watchdog_timeout_bug,fixed,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00049,PAYLOAD_HASH,v2,full,watchdog_timeout_bug,fixed,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00050,ORIGINAL_REPLAY,v2,full,watchdog_timeout_bug,no_failure_edge,1,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00051,ORIGINAL_REPLAY,v2,full,watchdog_timeout_bug,no_failure_edge,2,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
