architecture,recorder_config,buffer_depth,workload_scale,pass_count,fail_count,timeout_count,blocked_count,replay_success_rate_pct,overflow_rate_pct,median_events,median_capsule_bytes,n,notes
v2,hashed,2048,smoke,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,256,smoke,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,512,smoke,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,64,smoke,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,1024,stress,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,128,stress,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,2048,stress,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,256,stress,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,512,stress,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,64,stress,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
