architecture,recorder_config,benchmark,variant,seed,workload_scale,baseline,measured_or_estimated,bytes,events,replay_success,final_signature_match,event_match,reduction_vs_full_instruction_pct,reduction_vs_full_commit_pct,reduction_vs_snapshot_pct,notes
v2,full,sensor_threshold_bug,no_failure_edge,5,short,v2_full,MEASURED,1928,241,true,PASS,PASS,92.37,96.18,52.93,MEASURED v2 exported capsule
baseline,baseline,sensor_threshold_bug,no_failure_edge,5,smoke,full_instruction_trace,ESTIMATED,13288,1661,NA,NA,NA,0.00,50.00,-224.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,sensor_threshold_bug,no_failure_edge,5,smoke,full_commit_trace,ESTIMATED,26576,1661,NA,NA,NA,-100.00,0.00,-548.83,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,sensor_threshold_bug,no_failure_edge,5,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.18,84.59,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,sensor_threshold_bug,no_failure_edge,5,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.54,79.77,-31.25,MEASURED v1 workload capsule
v2,core,sensor_threshold_bug,no_failure_edge,5,smoke,v2_core,MEASURED,8,1,true,PASS,PASS,99.94,99.97,99.80,MEASURED v2 exported capsule
v2,hashed,sensor_threshold_bug,no_failure_edge,5,smoke,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.94,99.97,99.80,MEASURED v2 exported capsule
v2,full,sensor_threshold_bug,no_failure_edge,5,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.55,92.78,53.12,MEASURED v2 exported capsule
baseline,baseline,sensor_threshold_bug,no_failure_edge,5,stress,full_instruction_trace,ESTIMATED,445912,55739,NA,NA,NA,0.00,50.00,-10786.52,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,sensor_threshold_bug,no_failure_edge,5,stress,full_commit_trace,ESTIMATED,891824,55739,NA,NA,NA,-100.00,0.00,-21673.05,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,sensor_threshold_bug,no_failure_edge,5,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,99.08,99.54,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,sensor_threshold_bug,no_failure_edge,5,stress,v1_full,MEASURED,344064,16384,true,PASS,PASS,22.84,61.42,-8300.00,MEASURED v1 workload capsule
v2,core,sensor_threshold_bug,no_failure_edge,5,stress,v2_core,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,hashed,sensor_threshold_bug,no_failure_edge,5,stress,v2_hashed,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,full,sensor_threshold_bug,no_failure_edge,5,stress,v2_full,MEASURED,1928,241,true,PASS,PASS,99.57,99.78,52.93,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,1,long,full_instruction_trace,ESTIMATED,41096,5137,NA,NA,NA,0.00,50.00,-903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,1,long,full_commit_trace,ESTIMATED,82192,5137,NA,NA,NA,-100.00,0.00,-1906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,1,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.03,95.02,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,1,long,v1_full,MEASURED,43071,2051,true,PASS,PASS,-4.81,47.60,-951.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,1,long,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,1,long,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,1,long,v2_full,MEASURED,1920,240,true,PASS,PASS,95.33,97.66,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,1,medium,full_instruction_trace,ESTIMATED,10376,1297,NA,NA,NA,0.00,50.00,-153.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,1,medium,full_commit_trace,ESTIMATED,20752,1297,NA,NA,NA,-100.00,0.00,-406.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,1,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.52,80.26,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,1,medium,v1_full,MEASURED,10815,515,true,PASS,PASS,-4.23,47.88,-164.04,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,1,medium,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,1,medium,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,1,medium,v2_full,MEASURED,1920,240,true,PASS,PASS,81.50,90.75,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,1,short,full_instruction_trace,ESTIMATED,2696,337,NA,NA,NA,0.00,50.00,34.18,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,1,short,full_commit_trace,ESTIMATED,5392,337,NA,NA,NA,-100.00,0.00,-31.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,1,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-51.93,24.04,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,1,short,v1_full,MEASURED,2751,131,true,PASS,PASS,-2.04,48.98,32.84,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,1,short,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,1,short,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,1,short,v2_full,MEASURED,1920,240,true,PASS,PASS,28.78,64.39,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,1,smoke,full_instruction_trace,ESTIMATED,128,16,NA,NA,NA,0.00,50.00,96.88,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,1,smoke,full_commit_trace,ESTIMATED,256,16,NA,NA,NA,-100.00,0.00,93.75,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,1,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-3100.00,-1500.00,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,1,smoke,v1_full,MEASURED,84,4,true,PASS,PASS,34.38,67.19,97.95,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,1,smoke,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,1,smoke,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,1,smoke,v2_full,MEASURED,152,19,true,PASS,PASS,-18.75,40.62,96.29,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,1,stress,full_instruction_trace,ESTIMATED,163976,20497,NA,NA,NA,0.00,50.00,-3903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,1,stress,full_commit_trace,ESTIMATED,327952,20497,NA,NA,NA,-100.00,0.00,-7906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,1,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,1,stress,v1_full,MEASURED,172095,8195,true,PASS,PASS,-4.95,47.52,-4101.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,1,stress,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,1,stress,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,1,stress,v2_full,MEASURED,1920,240,true,PASS,PASS,98.83,99.41,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,2,long,full_instruction_trace,ESTIMATED,41096,5137,NA,NA,NA,0.00,50.00,-903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,2,long,full_commit_trace,ESTIMATED,82192,5137,NA,NA,NA,-100.00,0.00,-1906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,2,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.03,95.02,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,2,long,v1_full,MEASURED,43071,2051,true,PASS,PASS,-4.81,47.60,-951.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,2,long,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,2,long,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,2,long,v2_full,MEASURED,1920,240,true,PASS,PASS,95.33,97.66,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,2,medium,full_instruction_trace,ESTIMATED,10376,1297,NA,NA,NA,0.00,50.00,-153.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,2,medium,full_commit_trace,ESTIMATED,20752,1297,NA,NA,NA,-100.00,0.00,-406.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,2,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.52,80.26,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,2,medium,v1_full,MEASURED,10815,515,true,PASS,PASS,-4.23,47.88,-164.04,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,2,medium,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,2,medium,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,2,medium,v2_full,MEASURED,1920,240,true,PASS,PASS,81.50,90.75,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,2,short,full_instruction_trace,ESTIMATED,2696,337,NA,NA,NA,0.00,50.00,34.18,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,2,short,full_commit_trace,ESTIMATED,5392,337,NA,NA,NA,-100.00,0.00,-31.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,2,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-51.93,24.04,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,2,short,v1_full,MEASURED,2751,131,true,PASS,PASS,-2.04,48.98,32.84,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,2,short,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,2,short,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,2,short,v2_full,MEASURED,1920,240,true,PASS,PASS,28.78,64.39,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,2,smoke,full_instruction_trace,ESTIMATED,128,16,NA,NA,NA,0.00,50.00,96.88,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,2,smoke,full_commit_trace,ESTIMATED,256,16,NA,NA,NA,-100.00,0.00,93.75,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,2,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-3100.00,-1500.00,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,2,smoke,v1_full,MEASURED,84,4,true,PASS,PASS,34.38,67.19,97.95,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,2,smoke,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,2,smoke,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,2,smoke,v2_full,MEASURED,152,19,true,PASS,PASS,-18.75,40.62,96.29,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,2,stress,full_instruction_trace,ESTIMATED,163976,20497,NA,NA,NA,0.00,50.00,-3903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,2,stress,full_commit_trace,ESTIMATED,327952,20497,NA,NA,NA,-100.00,0.00,-7906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,2,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,2,stress,v1_full,MEASURED,172095,8195,true,PASS,PASS,-4.95,47.52,-4101.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,2,stress,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,2,stress,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,2,stress,v2_full,MEASURED,1920,240,true,PASS,PASS,98.83,99.41,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,3,long,full_instruction_trace,ESTIMATED,41096,5137,NA,NA,NA,0.00,50.00,-903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,3,long,full_commit_trace,ESTIMATED,82192,5137,NA,NA,NA,-100.00,0.00,-1906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,3,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.03,95.02,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,3,long,v1_full,MEASURED,43071,2051,true,PASS,PASS,-4.81,47.60,-951.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,3,long,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,3,long,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,3,long,v2_full,MEASURED,1920,240,true,PASS,PASS,95.33,97.66,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,3,medium,full_instruction_trace,ESTIMATED,10376,1297,NA,NA,NA,0.00,50.00,-153.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,3,medium,full_commit_trace,ESTIMATED,20752,1297,NA,NA,NA,-100.00,0.00,-406.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,3,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.52,80.26,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,3,medium,v1_full,MEASURED,10815,515,true,PASS,PASS,-4.23,47.88,-164.04,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,3,medium,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,3,medium,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,3,medium,v2_full,MEASURED,1920,240,true,PASS,PASS,81.50,90.75,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,3,short,full_instruction_trace,ESTIMATED,2696,337,NA,NA,NA,0.00,50.00,34.18,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,3,short,full_commit_trace,ESTIMATED,5392,337,NA,NA,NA,-100.00,0.00,-31.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,3,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-51.93,24.04,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,3,short,v1_full,MEASURED,2751,131,true,PASS,PASS,-2.04,48.98,32.84,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,3,short,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,3,short,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,3,short,v2_full,MEASURED,1920,240,true,PASS,PASS,28.78,64.39,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,3,smoke,full_instruction_trace,ESTIMATED,128,16,NA,NA,NA,0.00,50.00,96.88,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,3,smoke,full_commit_trace,ESTIMATED,256,16,NA,NA,NA,-100.00,0.00,93.75,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,3,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-3100.00,-1500.00,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,3,smoke,v1_full,MEASURED,84,4,true,PASS,PASS,34.38,67.19,97.95,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,3,smoke,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,3,smoke,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,3,smoke,v2_full,MEASURED,152,19,true,PASS,PASS,-18.75,40.62,96.29,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,3,stress,full_instruction_trace,ESTIMATED,163976,20497,NA,NA,NA,0.00,50.00,-3903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,3,stress,full_commit_trace,ESTIMATED,327952,20497,NA,NA,NA,-100.00,0.00,-7906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,3,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,3,stress,v1_full,MEASURED,172095,8195,true,PASS,PASS,-4.95,47.52,-4101.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,3,stress,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,3,stress,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,3,stress,v2_full,MEASURED,1920,240,true,PASS,PASS,98.83,99.41,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,4,long,full_instruction_trace,ESTIMATED,41096,5137,NA,NA,NA,0.00,50.00,-903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,4,long,full_commit_trace,ESTIMATED,82192,5137,NA,NA,NA,-100.00,0.00,-1906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,4,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.03,95.02,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,4,long,v1_full,MEASURED,43071,2051,true,PASS,PASS,-4.81,47.60,-951.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,4,long,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,4,long,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,4,long,v2_full,MEASURED,1920,240,true,PASS,PASS,95.33,97.66,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,4,medium,full_instruction_trace,ESTIMATED,10376,1297,NA,NA,NA,0.00,50.00,-153.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,4,medium,full_commit_trace,ESTIMATED,20752,1297,NA,NA,NA,-100.00,0.00,-406.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,4,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.52,80.26,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,4,medium,v1_full,MEASURED,10815,515,true,PASS,PASS,-4.23,47.88,-164.04,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,4,medium,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,4,medium,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,4,medium,v2_full,MEASURED,1920,240,true,PASS,PASS,81.50,90.75,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,4,short,full_instruction_trace,ESTIMATED,2696,337,NA,NA,NA,0.00,50.00,34.18,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,4,short,full_commit_trace,ESTIMATED,5392,337,NA,NA,NA,-100.00,0.00,-31.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,4,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-51.93,24.04,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,4,short,v1_full,MEASURED,2751,131,true,PASS,PASS,-2.04,48.98,32.84,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,4,short,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,4,short,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,4,short,v2_full,MEASURED,1920,240,true,PASS,PASS,28.78,64.39,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,4,smoke,full_instruction_trace,ESTIMATED,128,16,NA,NA,NA,0.00,50.00,96.88,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,4,smoke,full_commit_trace,ESTIMATED,256,16,NA,NA,NA,-100.00,0.00,93.75,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,4,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-3100.00,-1500.00,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,4,smoke,v1_full,MEASURED,84,4,true,PASS,PASS,34.38,67.19,97.95,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,4,smoke,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,4,smoke,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,4,smoke,v2_full,MEASURED,152,19,true,PASS,PASS,-18.75,40.62,96.29,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,4,stress,full_instruction_trace,ESTIMATED,163976,20497,NA,NA,NA,0.00,50.00,-3903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,4,stress,full_commit_trace,ESTIMATED,327952,20497,NA,NA,NA,-100.00,0.00,-7906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,4,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,4,stress,v1_full,MEASURED,172095,8195,true,PASS,PASS,-4.95,47.52,-4101.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,4,stress,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,4,stress,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,4,stress,v2_full,MEASURED,1920,240,true,PASS,PASS,98.83,99.41,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,5,long,full_instruction_trace,ESTIMATED,41096,5137,NA,NA,NA,0.00,50.00,-903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,stack_corruption_bug,failing,5,long,full_commit_trace,ESTIMATED,82192,5137,NA,NA,NA,-100.00,0.00,-1906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,stack_corruption_bug,failing,5,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.03,95.02,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,stack_corruption_bug,failing,5,long,v1_full,MEASURED,43071,2051,true,PASS,PASS,-4.81,47.60,-951.54,MEASURED v1 workload capsule
v2,core,stack_corruption_bug,failing,5,long,v2_core,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,hashed,stack_corruption_bug,failing,5,long,v2_hashed,MEASURED,0,0,true,PASS,PASS,100.00,100.00,100.00,MEASURED v2 exported capsule
v2,full,stack_corruption_bug,failing,5,long,v2_full,MEASURED,1920,240,true,PASS,PASS,95.33,97.66,53.12,MEASURED v2 exported capsule
baseline,baseline,stack_corruption_bug,failing,5,medium,full_instruction_trace,ESTIMATED,10376,1297,NA,NA,NA,0.00,50.00,-153.32,ESTIMATED formula=commits*(pc+instruction=8B)
