architecture,recorder_config,baseline,workload_scale,median_bytes,mean_bytes,min_bytes,max_bytes,median_reduction_vs_full_instruction_pct,median_reduction_vs_full_commit_pct,n,notes
v2,diagnostic,v2_diagnostic,long,2020.000000,2020.000000,2020.000000,2020.000000,99.170000,99.590000,75,detailed CSV marks each row measured_or_estimated
v2,diagnostic,v2_diagnostic,medium,2020.000000,2020.000000,2020.000000,2020.000000,98.420000,99.210000,75,detailed CSV marks each row measured_or_estimated
v2,diagnostic,v2_diagnostic,short,2020.000000,1635.200000,1048.000000,2020.000000,92.000000,96.000000,75,detailed CSV marks each row measured_or_estimated
v2,diagnostic,v2_diagnostic,smoke,2020.000000,1238.400000,52.000000,2020.000000,84.790000,92.390000,75,detailed CSV marks each row measured_or_estimated
v2,diagnostic,v2_diagnostic,stress,2020.000000,2020.000000,2020.000000,2020.000000,99.550000,99.770000,75,detailed CSV marks each row measured_or_estimated
v2,full,v2_full,long,4112.000000,4112.000000,4112.000000,4112.000000,98.320000,99.160000,75,detailed CSV marks each row measured_or_estimated
v2,full,v2_full,medium,4112.000000,4112.000000,4112.000000,4112.000000,96.780000,98.390000,75,detailed CSV marks each row measured_or_estimated
v2,full,v2_full,short,4112.000000,3322.666667,2112.000000,4112.000000,83.710000,91.860000,75,detailed CSV marks each row measured_or_estimated
v2,full,v2_full,smoke,4112.000000,2509.866667,80.000000,4112.000000,69.040000,84.520000,75,detailed CSV marks each row measured_or_estimated
v2,full,v2_full,stress,4112.000000,4112.000000,4112.000000,4112.000000,99.080000,99.540000,75,detailed CSV marks each row measured_or_estimated
v2,hashed,v2_hashed,long,736.000000,736.000000,736.000000,736.000000,99.700000,99.850000,75,detailed CSV marks each row measured_or_estimated
v2,hashed,v2_hashed,medium,736.000000,736.000000,736.000000,736.000000,99.420000,99.710000,75,detailed CSV marks each row measured_or_estimated
v2,hashed,v2_hashed,short,736.000000,597.866667,384.000000,736.000000,97.080000,98.540000,75,detailed CSV marks each row measured_or_estimated
v2,hashed,v2_hashed,smoke,736.000000,456.000000,32.000000,736.000000,94.460000,97.230000,75,detailed CSV marks each row measured_or_estimated
v2,hashed,v2_hashed,stress,736.000000,736.000000,736.000000,736.000000,99.830000,99.920000,75,detailed CSV marks each row measured_or_estimated
v2,minimal,v2_minimal,long,264.000000,264.000000,264.000000,264.000000,99.890000,99.950000,75,detailed CSV marks each row measured_or_estimated
v2,minimal,v2_minimal,medium,264.000000,264.000000,264.000000,264.000000,99.790000,99.900000,75,detailed CSV marks each row measured_or_estimated
v2,minimal,v2_minimal,short,264.000000,217.066667,144.000000,264.000000,98.950000,99.480000,75,detailed CSV marks each row measured_or_estimated
v2,minimal,v2_minimal,smoke,264.000000,168.533333,24.000000,264.000000,98.010000,99.010000,75,detailed CSV marks each row measured_or_estimated
v2,minimal,v2_minimal,stress,264.000000,264.000000,264.000000,264.000000,99.940000,99.970000,75,detailed CSV marks each row measured_or_estimated
