architecture,recorder_config,benchmark,variant,seed,firmware_source,compiler_backed,firmware_sha256,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,overflow,replay_consumer_status,replay_consumer_checked,replay_consumer_consumed,replay_consumer_expected,replay_consumer_error_code,stream_event_count,stream_event_sent_count,replay_critical_event_count,stream_stall_count,dropped_diagnostic_count,replay_critical_overflow_count,notes
v2,core,stack_corruption_bug,failing,3,compiler_c,true,47774927de8e016c216951a6c9fbbdcfabb9f8a257083d5c068fe0020df1710d,PASS,PASS,PASS,4,4,PASS,PASS,PASS,0,62,16,false,PASS,true,0,0,0,0,0,0,0,0,0,"PASS replay benchmark=stack_corruption_bug variant=failing seed=3 arch=v2 recorder_config=core property=4 events=0 cycles=61 commits=16 notes=""record/replay canonical events match; rtl replay consumer consumed 0/0"""
v2,core,stack_corruption_bug,fixed,1,compiler_c,true,012d9f4fcb81b98f91dfcc341fe046a2182a59bee6ebfa686123747f2cc33de3,PASS,PASS,PASS,0,0,NA,PASS,PASS,8,100000,33327,false,PASS,true,1,1,0,1,1,1,0,0,0,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=1 arch=v2 recorder_config=core property=0 events=1 cycles=100000 commits=33327 notes=""record/replay canonical events match; rtl replay consumer consumed 1/1"""
v2,core,stack_corruption_bug,fixed,2,compiler_c,true,012d9f4fcb81b98f91dfcc341fe046a2182a59bee6ebfa686123747f2cc33de3,PASS,PASS,PASS,0,0,NA,PASS,PASS,8,100000,33327,false,PASS,true,1,1,0,1,1,1,0,0,0,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=2 arch=v2 recorder_config=core property=0 events=1 cycles=100000 commits=33327 notes=""record/replay canonical events match; rtl replay consumer consumed 1/1"""
v2,core,stack_corruption_bug,fixed,3,compiler_c,true,012d9f4fcb81b98f91dfcc341fe046a2182a59bee6ebfa686123747f2cc33de3,PASS,PASS,PASS,0,0,NA,PASS,PASS,8,100000,33327,false,PASS,true,1,1,0,1,1,1,0,0,0,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=3 arch=v2 recorder_config=core property=0 events=1 cycles=100000 commits=33327 notes=""record/replay canonical events match; rtl replay consumer consumed 1/1"""
v2,core,uart_command_bug,failing,1,compiler_c,true,44b90fdba014db0613a6dc13ef950ba92ed1c8c6720e55af7f6a041329847276,PASS,PASS,PASS,1,1,PASS,PASS,PASS,24,67,18,false,PASS,true,3,3,0,3,3,3,0,0,0,"PASS replay benchmark=uart_command_bug variant=failing seed=1 arch=v2 recorder_config=core property=1 events=3 cycles=66 commits=18 notes=""record/replay canonical events match; rtl replay consumer consumed 3/3"""
v2,core,uart_command_bug,failing,2,compiler_c,true,44b90fdba014db0613a6dc13ef950ba92ed1c8c6720e55af7f6a041329847276,PASS,PASS,PASS,1,1,PASS,PASS,PASS,24,67,18,false,PASS,true,3,3,0,3,3,3,0,0,0,"PASS replay benchmark=uart_command_bug variant=failing seed=2 arch=v2 recorder_config=core property=1 events=3 cycles=66 commits=18 notes=""record/replay canonical events match; rtl replay consumer consumed 3/3"""
v2,core,uart_command_bug,failing,3,compiler_c,true,44b90fdba014db0613a6dc13ef950ba92ed1c8c6720e55af7f6a041329847276,PASS,PASS,PASS,1,1,PASS,PASS,PASS,24,67,18,false,PASS,true,3,3,0,3,3,3,0,0,0,"PASS replay benchmark=uart_command_bug variant=failing seed=3 arch=v2 recorder_config=core property=1 events=3 cycles=66 commits=18 notes=""record/replay canonical events match; rtl replay consumer consumed 3/3"""
v2,core,uart_command_bug,fixed,1,compiler_c,true,288598d1b6a989883c1662f87500777996195fe230dc75ec54934470b1d82709,PASS,PASS,PASS,0,0,NA,PASS,PASS,8,100000,33328,false,PASS,true,1,1,0,1,1,1,0,0,0,"PASS replay benchmark=uart_command_bug variant=fixed seed=1 arch=v2 recorder_config=core property=0 events=1 cycles=100000 commits=33328 notes=""record/replay canonical events match; rtl replay consumer consumed 1/1"""
v2,core,uart_command_bug,fixed,2,compiler_c,true,288598d1b6a989883c1662f87500777996195fe230dc75ec54934470b1d82709,PASS,PASS,PASS,0,0,NA,PASS,PASS,8,100000,33328,false,PASS,true,1,1,0,1,1,1,0,0,0,"PASS replay benchmark=uart_command_bug variant=fixed seed=2 arch=v2 recorder_config=core property=0 events=1 cycles=100000 commits=33328 notes=""record/replay canonical events match; rtl replay consumer consumed 1/1"""
v2,core,uart_command_bug,fixed,3,compiler_c,true,288598d1b6a989883c1662f87500777996195fe230dc75ec54934470b1d82709,PASS,PASS,PASS,0,0,NA,PASS,PASS,8,100000,33328,false,PASS,true,1,1,0,1,1,1,0,0,0,"PASS replay benchmark=uart_command_bug variant=fixed seed=3 arch=v2 recorder_config=core property=0 events=1 cycles=100000 commits=33328 notes=""record/replay canonical events match; rtl replay consumer consumed 1/1"""
