architecture,recorder_config,buffer_depth,workload_scale,overflow_rate_pct,replay_success_rate_pct,median_capsule_bytes,median_events,n,notes
v2,core,64,short,60.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,64,smoke,60.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,64,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,128,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,128,medium,100.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,128,short,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,128,smoke,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,128,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,256,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,256,medium,60.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,256,short,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,256,smoke,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,256,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,512,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,512,medium,0.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,512,short,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,512,smoke,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,512,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,1024,long,60.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,1024,medium,0.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,1024,short,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,1024,smoke,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,1024,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,2048,long,0.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,2048,medium,0.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,2048,short,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,2048,smoke,0.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,2048,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,4,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,4,medium,100.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
