benchmark,variant,seed,config,firmware_source,compiler_backed,cycles_to_completion,cycles_to_failure,commits_to_completion,commits_to_failure,event_count,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
mmio_ordering_bug,failing,1,recorder_present_disabled,compiler_c,true,NA,56,NA,14,0,0,0.006874,0.00,0.00,9.98,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,failing,1,recorder_enabled,compiler_c,true,NA,56,NA,14,4,84,0.006172,0.00,0.00,-1.25,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,failing,2,baseline_no_recorder,compiler_c,true,NA,56,NA,14,0,0,0.006121,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,failing,2,recorder_present_disabled,compiler_c,true,NA,56,NA,14,0,0,0.006231,0.00,0.00,1.80,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,failing,2,recorder_enabled,compiler_c,true,NA,56,NA,14,4,84,0.006268,0.00,0.00,2.40,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,failing,3,baseline_no_recorder,compiler_c,true,NA,56,NA,14,0,0,0.006275,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,failing,3,recorder_present_disabled,compiler_c,true,NA,56,NA,14,0,0,0.006664,0.00,0.00,6.20,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,failing,3,recorder_enabled,compiler_c,true,NA,56,NA,14,4,84,0.006252,0.00,0.00,-0.37,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,1,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.014643,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,1,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.108919,0.00,0.00,643.83,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,1,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.101447,0.00,0.00,592.80,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,2,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.014996,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,2,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.106729,0.00,0.00,611.72,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,2,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.100245,0.00,0.00,568.48,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,3,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.014293,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,3,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.097617,0.00,0.00,582.97,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,fixed,3,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.099966,0.00,0.00,599.41,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
