benchmark,variant,workload_scale,delay_iters,max_cycles,hex_path,elf_path,build_status,firmware_source,compiler,sha256_hex,notes
uart_command_bug,failing,long,1024,100000,firmware/build_scaled/long/uart_command_bug/failing.hex,firmware/build_scaled/long/uart_command_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,714998608495e670a62a827558d06d30c45cc19ace7790b2b73dda172e8a6409,compiler-backed scaled firmware; long deterministic pre-trigger delay
uart_command_bug,failing,stress,4096,200000,firmware/build_scaled/stress/uart_command_bug/failing.hex,firmware/build_scaled/stress/uart_command_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,14befee1ca86f644b47a5c798145db8e71cd9901bb791dc041d9cba0ad155c0b,compiler-backed scaled firmware; stress deterministic pre-trigger delay
uart_command_bug,fixed,smoke,0,5000,firmware/build_scaled/smoke/uart_command_bug/fixed.hex,firmware/build_scaled/smoke/uart_command_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,20d453220a7419c45b4a3600cff127297e2d9cdb9c9bc99feb5ac4291aedca62,compiler-backed scaled firmware; default firmware-length smoke stimulus
uart_command_bug,fixed,short,64,10000,firmware/build_scaled/short/uart_command_bug/fixed.hex,firmware/build_scaled/short/uart_command_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,79f5015dbfe6a84c75b94f534a29e7cb4aead92626a145afc404ab63f2a70596,compiler-backed scaled firmware; small deterministic pre-trigger delay
uart_command_bug,fixed,medium,256,50000,firmware/build_scaled/medium/uart_command_bug/fixed.hex,firmware/build_scaled/medium/uart_command_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,ec09fe9ba0387d858d959f2fbe9db25f369ccaa421a10b5cbf9ae9e69bb07a8f,compiler-backed scaled firmware; medium deterministic pre-trigger delay
uart_command_bug,fixed,long,1024,100000,firmware/build_scaled/long/uart_command_bug/fixed.hex,firmware/build_scaled/long/uart_command_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,cfc86f20215d462cf3a2a0405ac26cd3f096d97dc06b68db27c0012663ab5990,compiler-backed scaled firmware; long deterministic pre-trigger delay
uart_command_bug,fixed,stress,4096,200000,firmware/build_scaled/stress/uart_command_bug/fixed.hex,firmware/build_scaled/stress/uart_command_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,aadbb13677e24fb3ecb2477ff01e62652e9989e87b6c188660a1ca601c1f6c69,compiler-backed scaled firmware; stress deterministic pre-trigger delay
uart_command_bug,no_failure_edge,smoke,0,5000,firmware/build_scaled/smoke/uart_command_bug/no_failure_edge.hex,firmware/build_scaled/smoke/uart_command_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,1824d04462a3495f4df66d3956ae15c82c90456a862ad28b0506cd530db29126,compiler-backed scaled firmware; default firmware-length smoke stimulus
uart_command_bug,no_failure_edge,short,64,10000,firmware/build_scaled/short/uart_command_bug/no_failure_edge.hex,firmware/build_scaled/short/uart_command_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,a5cd3f8ebad72e97f20b0bd48eff56de96442c6df5538018d000391fabbcee6c,compiler-backed scaled firmware; small deterministic pre-trigger delay
uart_command_bug,no_failure_edge,medium,256,50000,firmware/build_scaled/medium/uart_command_bug/no_failure_edge.hex,firmware/build_scaled/medium/uart_command_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,00160435609272da6eecd8c37473e80fe769eaad508219c4473728c16fb1f77f,compiler-backed scaled firmware; medium deterministic pre-trigger delay
uart_command_bug,no_failure_edge,long,1024,100000,firmware/build_scaled/long/uart_command_bug/no_failure_edge.hex,firmware/build_scaled/long/uart_command_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,714998608495e670a62a827558d06d30c45cc19ace7790b2b73dda172e8a6409,compiler-backed scaled firmware; long deterministic pre-trigger delay
uart_command_bug,no_failure_edge,stress,4096,200000,firmware/build_scaled/stress/uart_command_bug/no_failure_edge.hex,firmware/build_scaled/stress/uart_command_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,14befee1ca86f644b47a5c798145db8e71cd9901bb791dc041d9cba0ad155c0b,compiler-backed scaled firmware; stress deterministic pre-trigger delay
watchdog_timeout_bug,failing,smoke,0,5000,firmware/build_scaled/smoke/watchdog_timeout_bug/failing.hex,firmware/build_scaled/smoke/watchdog_timeout_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,b7bb743011a473f5ebbbc81a26d3c48536f67f99bb605c3752728f7bc60398c8,compiler-backed scaled firmware; default firmware-length smoke stimulus
watchdog_timeout_bug,failing,short,64,10000,firmware/build_scaled/short/watchdog_timeout_bug/failing.hex,firmware/build_scaled/short/watchdog_timeout_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,479b5ed98c801dc07c185e88f4df03cd35273fb365b4a81ef644e0a8fdb4db22,compiler-backed scaled firmware; small deterministic pre-trigger delay
watchdog_timeout_bug,failing,medium,256,50000,firmware/build_scaled/medium/watchdog_timeout_bug/failing.hex,firmware/build_scaled/medium/watchdog_timeout_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,4813d0d77567b3e131e2f28a981d1124b7771987a5ca4dcb13861ffbdead36da,compiler-backed scaled firmware; medium deterministic pre-trigger delay
watchdog_timeout_bug,failing,long,1024,100000,firmware/build_scaled/long/watchdog_timeout_bug/failing.hex,firmware/build_scaled/long/watchdog_timeout_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,dc3e86277bace7b953c32c25ca8ec914dd62780446bb4ea907b86872f5699157,compiler-backed scaled firmware; long deterministic pre-trigger delay
watchdog_timeout_bug,failing,stress,4096,200000,firmware/build_scaled/stress/watchdog_timeout_bug/failing.hex,firmware/build_scaled/stress/watchdog_timeout_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,1636df6190b50b6926c636ca2d5696dccaf952a9f9a6dab7df3a2084bdf62e60,compiler-backed scaled firmware; stress deterministic pre-trigger delay
watchdog_timeout_bug,fixed,smoke,0,5000,firmware/build_scaled/smoke/watchdog_timeout_bug/fixed.hex,firmware/build_scaled/smoke/watchdog_timeout_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,684a58f5b6a6b48c81e4fd23ad93f17964d78b4a21bcf275c3c3f6b2fb85fd5a,compiler-backed scaled firmware; default firmware-length smoke stimulus
watchdog_timeout_bug,fixed,short,64,10000,firmware/build_scaled/short/watchdog_timeout_bug/fixed.hex,firmware/build_scaled/short/watchdog_timeout_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,3e5b5427437b9d8efa992cff5aa6e479508a2247bf3d2e13a9e59cbd566e8bb5,compiler-backed scaled firmware; small deterministic pre-trigger delay
watchdog_timeout_bug,fixed,medium,256,50000,firmware/build_scaled/medium/watchdog_timeout_bug/fixed.hex,firmware/build_scaled/medium/watchdog_timeout_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,20223611e3ec5354f0cd96747a761ec2ca10b2834dbfea74ce0bd878339b9bd3,compiler-backed scaled firmware; medium deterministic pre-trigger delay
watchdog_timeout_bug,fixed,long,1024,100000,firmware/build_scaled/long/watchdog_timeout_bug/fixed.hex,firmware/build_scaled/long/watchdog_timeout_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,78f5a7f3d467b9bd5388b14cadf9e82f469e9f695a55e3e60774727160ba434d,compiler-backed scaled firmware; long deterministic pre-trigger delay
watchdog_timeout_bug,fixed,stress,4096,200000,firmware/build_scaled/stress/watchdog_timeout_bug/fixed.hex,firmware/build_scaled/stress/watchdog_timeout_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,98bc6af47acb044f9405a32127dd5ec373f193f6f313dd5b4d582687aee037cb,compiler-backed scaled firmware; stress deterministic pre-trigger delay
watchdog_timeout_bug,no_failure_edge,smoke,0,5000,firmware/build_scaled/smoke/watchdog_timeout_bug/no_failure_edge.hex,firmware/build_scaled/smoke/watchdog_timeout_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,b7bb743011a473f5ebbbc81a26d3c48536f67f99bb605c3752728f7bc60398c8,compiler-backed scaled firmware; default firmware-length smoke stimulus
watchdog_timeout_bug,no_failure_edge,short,64,10000,firmware/build_scaled/short/watchdog_timeout_bug/no_failure_edge.hex,firmware/build_scaled/short/watchdog_timeout_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,479b5ed98c801dc07c185e88f4df03cd35273fb365b4a81ef644e0a8fdb4db22,compiler-backed scaled firmware; small deterministic pre-trigger delay
watchdog_timeout_bug,no_failure_edge,medium,256,50000,firmware/build_scaled/medium/watchdog_timeout_bug/no_failure_edge.hex,firmware/build_scaled/medium/watchdog_timeout_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,4813d0d77567b3e131e2f28a981d1124b7771987a5ca4dcb13861ffbdead36da,compiler-backed scaled firmware; medium deterministic pre-trigger delay
watchdog_timeout_bug,no_failure_edge,long,1024,100000,firmware/build_scaled/long/watchdog_timeout_bug/no_failure_edge.hex,firmware/build_scaled/long/watchdog_timeout_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,dc3e86277bace7b953c32c25ca8ec914dd62780446bb4ea907b86872f5699157,compiler-backed scaled firmware; long deterministic pre-trigger delay
watchdog_timeout_bug,no_failure_edge,stress,4096,200000,firmware/build_scaled/stress/watchdog_timeout_bug/no_failure_edge.hex,firmware/build_scaled/stress/watchdog_timeout_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,1636df6190b50b6926c636ca2d5696dccaf952a9f9a6dab7df3a2084bdf62e60,compiler-backed scaled firmware; stress deterministic pre-trigger delay
