benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,firmware_source,firmware_sha256,compiler_backed,notes
uart_command_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,5a6043c9741b50ce0b0909d7f1cf80f8e0f3e5d2f851736939949766274d4e44,true,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=2 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
uart_command_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,5a6043c9741b50ce0b0909d7f1cf80f8e0f3e5d2f851736939949766274d4e44,true,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=3 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,failing,1,PASS,PASS,PASS,6,6,PASS,PASS,PASS,105,85,22,compiler_c,47b7c3dd4b62f2feb2b877f19013b8f58d489d6ec09692e27dd7ac98f15496ee,true,"PASS replay benchmark=watchdog_timeout_bug variant=failing seed=1 property=6 events=5 cycles=85 commits=22 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,failing,2,PASS,PASS,PASS,6,6,PASS,PASS,PASS,105,85,22,compiler_c,47b7c3dd4b62f2feb2b877f19013b8f58d489d6ec09692e27dd7ac98f15496ee,true,"PASS replay benchmark=watchdog_timeout_bug variant=failing seed=2 property=6 events=5 cycles=85 commits=22 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,failing,3,PASS,PASS,PASS,6,6,PASS,PASS,PASS,105,85,22,compiler_c,47b7c3dd4b62f2feb2b877f19013b8f58d489d6ec09692e27dd7ac98f15496ee,true,"PASS replay benchmark=watchdog_timeout_bug variant=failing seed=3 property=6 events=5 cycles=85 commits=22 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33325,compiler_c,3ab1262083e2da766112741b43f57cf3f701eaee8c6b79ed8f77f251a7377d28,true,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=1 property=0 events=256 cycles=100000 commits=33325 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33325,compiler_c,3ab1262083e2da766112741b43f57cf3f701eaee8c6b79ed8f77f251a7377d28,true,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=2 property=0 events=256 cycles=100000 commits=33325 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33325,compiler_c,3ab1262083e2da766112741b43f57cf3f701eaee8c6b79ed8f77f251a7377d28,true,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=3 property=0 events=256 cycles=100000 commits=33325 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,47b7c3dd4b62f2feb2b877f19013b8f58d489d6ec09692e27dd7ac98f15496ee,true,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=1 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,47b7c3dd4b62f2feb2b877f19013b8f58d489d6ec09692e27dd7ac98f15496ee,true,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=2 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,47b7c3dd4b62f2feb2b877f19013b8f58d489d6ec09692e27dd7ac98f15496ee,true,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=3 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
