benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,firmware_source,firmware_sha256,compiler_backed,notes
stack_corruption_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,6,fallback_hex,b5790adf0b378e5c11a6c0bd9a137bfe224354677fe92eac2c83ce8bb6c3bbd8,false,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=2 property=0 events=1 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
stack_corruption_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,6,fallback_hex,b5790adf0b378e5c11a6c0bd9a137bfe224354677fe92eac2c83ce8bb6c3bbd8,false,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=3 property=0 events=1 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
uart_command_bug,failing,1,PASS,PASS,PASS,1,1,PASS,PASS,PASS,63,27,5,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=failing seed=1 property=1 events=3 cycles=27 commits=5 notes=""record/replay capsule packets match"""
uart_command_bug,failing,2,PASS,PASS,PASS,1,1,PASS,PASS,PASS,63,27,5,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=failing seed=2 property=1 events=3 cycles=27 commits=5 notes=""record/replay capsule packets match"""
uart_command_bug,failing,3,PASS,PASS,PASS,1,1,PASS,PASS,PASS,63,27,5,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=failing seed=3 property=1 events=3 cycles=27 commits=5 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=fixed seed=1 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=fixed seed=2 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=fixed seed=3 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=1 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=2 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
